original_id,document,label,ref,gen,summac_zs,summac_conv
13629860,"Football
Rugby Union
Rugby League
Cricket
Tennis
Basketball
Athletics
Speedway
Ice Hockey
Radio 5 live and 5 live sports extra",unsure,A rundown of all the latest BBC radio commentaries online.,BBC Sport brings you live coverage of all the key sporting events of the week.,-0.2985382080078125,0.20278167724609375
16228680,"Judge Carlos Castro Martins reversed the order he had issued in September, which had barred any work on the Belo Monte dam that interfered with the natural flow of the Xingu river.
He said the company behind the project had subsequently shown its work would not harm local fishing.
The project has been heavily criticised by environmentalists.
Judge Martins had originally ruled in favour of a fisheries group which argued that the dam would affect local fish stocks and could harm indigenous families who make a living from fishing.
He had barred the Norte Energia company behind the project from all work which could interfere with the natural flow of the Xingu river, including building a port, using explosives, installing dikes and building canals.
Legal wrangling
Norte Energia appealed against the decision and Judge Martins ruled on Friday that construction work on the dam could go ahead as the company had shown that local fishing boats would not be blocked or hindered in their work.
""Since the course of the water won't be altered, and there won't be much variation in the speed of its flow, (the project) won't have a major influence on the habitat of ornamental fish species used for fishing,"" he said.
Judge Martins did, however, say that the wider environmental impact of the project ""could only be felt and analysed once the work was completed, as the studies into its effects were only forecasts of what could happen"".
He also said that any work would have to comply with the regulations laid down by Brazil's Indian Affairs Department (Funai) and the National Environment Agency, Ibama.
Norte Energia said the temporary halt on the building work had not affected the project, as it had not yet reached the stage where the company needed to do any of the specific type of work which had fallen under the ban.
If it goes ahead, the 11,000-megawatt dam will be the third biggest in the world - after the Three Gorges in China and Itaipu, which is jointly run by Brazil and Paraguay.
The government says it is crucial to meeting growing energy needs, but environmentalists and those fighting for indigenous rights have been vociferous in their opposition.",reconstructable,A judge in Brazil has revoked a decision which had halted work on the Belo Monte dam in the Amazon region.,A judge in Brazil has ruled that construction work can go ahead on the world's third biggest hydro-electric dam.,-0.5762939453125,0.2558775842189789
16698274,"Davies, 47, led Forest to successive play-off campaigns while at the City Ground but had an uneasy relationship with the board and was sacked in June.
When asked if he would go back to work for a new regime, Davies told BBC Late Kick Off: ""I'd be delighted to go back. I have great feelings for the club.
""I did want to get them to the Premier League. I'd love to finish that job.""
Forest have scored just 22 goals in 27 Championship games this season
Forest, who have lost nine of their last 11 games, are third from bottom in the Championship and sit four points adrift of safety.
Manager Steve Cotterill took over from Steve McClaren in October but, despite an initial upturn in form, the Reds have been in woeful form of late and have scored just four-goals in their last 11 matches.
But Davies remains convinced they can turn things around: ""I am sad to see what has happened,"" the former Preston and Derby boss added.
""But I wish them well and have no doubt they will get out of their troubles.
""The club deserve to be in the Premier League.""",unreconstructable,"Ex-Nottingham Forest boss Billy Davies says he has ""unfinished business"" at the club and would love to return.","Former Nottingham Forest manager Billy Davies says he would be ""delighted"" to return to the club.",-0.7682571411132812,0.2108568698167801
19296638,"The town is home to the prestigious Leander Club, which has trained more than 100 Olympic medal-winning rowers.
Prime Minister David Cameron previously said the plan was a ""very good idea"".
Royal Mail spokesman Simon Fellman said: ""We're delighted to do it and we're pleased so many people are delighted about it.""
The Royal Mail has painted more than 50 postboxes gold following Team GB's gold medal haul at London 2012.
Originally it said it was only painting them in ""winners' home towns, or towns with which they are closely associated"".
Town mayor Elizabeth Hodgkin said: ""We are the home of rowing... I feel very excited about it.
""I think it's wonderful news, it's a great thing for the town.""
Mr Fellman said: ""It's almost like the torch has come again. It's a piece of the Olympics coming back to people's doorsteps.
""The support for the boxes, it's kind of like the new tourist attraction. It's fantastic and I think people have really taken it to their hearts.""
The Henley-on-Thames postbox was painted on Friday.
The town is holding a victory bus parade for more than 24 Olympians on 25 August, along with a civic reception.",reconstructable,The Royal Mail has painted a postbox gold in the Oxfordshire town of Henley-on-Thames - in recognition of its medal winning rowing club.,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,-0.1359100341796875,0.21576768159866333
19577896,"The poverty rate was 15% in 2011, meaning 46.2 million Americans were in poverty, staying flat after three previous years of increases.
Real median income of households in the country dropped by 1.5%.
The average poverty threshold for a family of four in 2011 was $23,021 (Â£14,300).
Income inequality, as measured by the Gini index, increased by 1.6% in 2011, the first time there has been an annual rise in the index since 1993.
The percentage of Americans lacking health insurance fell to 15.7% from 16.3%, the report also said.
Poverty in the US reached a record high in 2010, at 15.1%.",reconstructable,"The percentage of Americans living in poverty is statistically unchanged from 2010's record high, even as household income fell, a US Census report says.","The number of Americans living in poverty held steady last year, according to the US Census Bureau.",-0.4871025085449219,0.20602849125862122
19811027,"City council leader Lib Dem Simon Cook will tell a conference an arena on the site of the old diesel depot site is a crucial part of the zone.
He stressed although it was early days potential operators believe its size would attract many good quality shows.
Mr Cook said there was a risk a larger version would be built in Cardiff if the Bristol arena did not go ahead.
""We've fallen behind Cardiff too often in the past. It is really time to grab the opportunity and go for it.
""There is a very big interest in an arena for Bristol... we're absolutely determined to deliver it,"" he added.
It is believed the arena would cost up to Â£80m to build, some of which will come from the government's City Deal fund.
Several plans for an entertainment arena have been put forward since 2003 but the idea was dropped in 2007 when costs rose to Â£86m.
Then in 2009, plans for a 15,000-seater music and sport venue were proposed with a second site at Ashton Vale close to where Bristol City Football Club wants to build a new stadium.
The city's biggest music venue is the famous Colston Hall, which can hold about 2,000 people.",reconstructable,"A 12,000-seater music venue on the Temple Meads Enterprise Zone in Bristol is possible by 2016, the council says.","Plans for a 15,000-seater entertainment arena in Bristol are being backed by the city council.",-0.4998435974121094,0.2108568698167801
19882153,"He quit despite surviving a vote on an opposition motion to remove him.
Mr Slipper is accused of sexual harassment by a former staff member, and of sending lurid text messages, now revealed in court documents.
His resignation could harm Ms Gillard's slender majority, which relies on votes from independent MPs.
Mr Slipper defected from opposition leader Tony Abbot's Liberal Party last year, becoming an independent.
He was swiftly promoted to the non-voting role of Speaker, freeing up his predecessor - Labour member Harry Jenkins - and effectively giving Ms Gillard a two-seat majority in the House.
His resignation now means Ms Gillard is dependent on Mr Slipper as an independent to help pass legislation.
Mr Slipper appeared to fight back tears in an emotional return to the House to announce his decision to resign, saying it was made with ""great sadness"" and regret.
His resignation followed a heated debate between Ms Gillard and Mr Abbot on Tuesday, with Mr Abbot accusing Mr Slipper of not being a ""fit and proper"" person for position of Speaker.
On Monday, court documents filed as part of a sexual harassment lawsuit being brought against him gave details of lurid text messages he is alleged to have sent his accuser, who is openly gay.
Mr Slipper, who is married, earlier apologised for the content of the text messages. He also denies the charges of sexual harassment.
He had been absent from parliament since April when he voluntarily stepped aside while the case against him was investigated.",unreconstructable,"Australia's parliament Speaker Peter Slipper has resigned amid a continuing sex scandal, dealing a blow to Prime Minister Julia Gillard's government.","Australian Speaker Peter Slipper has resigned, dealing a blow to Prime Minister Julia Gillard's minority government.",-0.6977691650390625,0.2239038348197937
20712797,"Deputy Hunter Adam handed the Bailiff Richard Collas a letter informing him of the decision following a recess for his board to discuss its options.
Deputy minister Barry Brehaut and deputies Elis Bebb, David Inglis and Arrun Wilkie have also resigned.
Earlier, deputies voted to allow the department to overspend by Â£2.5m.
However, that unanimous decision came despite severe criticism of the department's handling of its finances and its decision in November to close wards and postpone non-emergency operations.
Deputy Mark Dorey, a former Social Security minister and a current member of Treasury and Resources, was voted to replace Deputy Adam.
He beat the current Housing Minister Dave Jones by 27 votes to 16.
During his speech to members, Deputy Dorey said: ""I believe that I would bring a fresh approach to the role, characterised by energy, openness and willingness to listen.""
States members adjourned, following his election to allow time for deputies to discuss nominations for the remaining four seats.
They went unopposed to Deputy Sandra James and Deputy Martin Storey and two former board members, Deputy Elis Bebb and Deputy Barry Brehaut.
All were proposed by the new minister and their nominations were seconded by the unsuccessful ministerial candidate Deputy Jones.",unreconstructable,"Guernsey's minister for Health and Social Services has resigned, ahead of a planned States debate on a motion of no confidence.",The deputy minister of Guernsey's Department of Housing and Social Care has resigned.,-0.667572021484375,0.21363496780395508
20975601,"A 10ft (3m) scrub python was battling to retain its grip on the wing as a plane made its way between the Australian town of Cairns and Port Moresby in Papua New Guinea.
It held on the whole 1hr 50 min flight.
But on arrival in Port Moresby, ground crew found the snake had died.
Passengers first became aware of the reptile 20 minutes after take-off. A woman pointed out the python to fellow passengers and cabin crew.
At first only its head was visible, but as it tried to manoeuvre itself back to safety, its whole body was exposed. Time and again it tried to pull itself back into the shelter of the wing, but the wind was relentless.
The wind speed was 250mph (400km/h) and the temperature -12C.
The snake's body was hammered against the engine, leaving blood stains on the white paint.
One passenger, Robert Weber, a website designer in Cairns, told the Sydney Morning Herald: ''The people at the front were oblivious to what was going on but the passengers at the back were all totally focused on the snake and how it might have got on to the aircraft.
''There was no panic. At no time did anyone stop to consider that there might be others on board.''
The president of the Australian Licensed Aircraft Engineers Association, Paul Cousins, said: ''It appears as though the snake has initially crawled up inside the landing bay, maybe housed himself in there, and then crawled into the trailing ledge flap assembly.''
Scrub pythons are Australia's longest snakes. They feed on rodents and often conceal themselves in enclosed space to ambush their prey. The wing of a stationary aircraft may have appeared a likely place to this particular snake.",unsure,"For excitement it may not have matched the Samuel L Jackson film, Snakes On A Plane, but passengers on a Qantas flight watched with fascination as one snake fought out its own drama.",A passenger on a flight from Australia to Papua New Guinea had a close encounter with a giant snake.,-0.1789703369140625,0.22825656831264496
25014368,"The Paris St-Germain striker scored twice against Portugal on Tuesday but Cristiano Ronaldo's hat-trick took his side through 4-2 on aggregate.
Ibrahimovic, 32, said: ""It was probably the last attempt to reach the World Cup with the national team for me.
""A World Cup without me is nothing to watch so it is not worthwhile to wait for the World Cup.""
The play-off between Sweden and Portugal, who had both finished second in their qualifying groups, had been billed as a showdown between Ibrahimovic and Ronaldo - two of the best players in the world.
At the age of 32, Sweden skipper Zlatan Ibrahimovic may not have another opportunity to play in a World Cup finals.
And the tournament would represent a nadir in the Paris St-Germain striker's career. He has never scored at a finals having made two substitute appearances in 2002 and three starts in 2006.
They ended up scoring all six goals between them as Portugal won 4-2 on aggregate.
Former Inter Milan forward Ibrahimovic, who has played in two World Cups, scored eight times in qualifying, including the play-offs, and assisted another six goals - having a hand in 14 out of Sweden's 21 goals.
He told Uefa's website: ""Why did we lose? To be honest, they were better than us. We should be proud. We couldn't have done better than we did.
""Of course, we could look back at our mistakes, but these things happen. They punished our mistakes. After making it 2-1 it felt like we were on a roll, our hopes grew, but unfortunately they made it 2-2 soon afterwards.""
Real Madrid forward Ronaldo, who has scored 34 goals in 24 games this season for club and country, said: ""I just did my job, as I have been doing lately. I always try to give my best - that is always my goal.""
He is now Portugal's joint-top scorer, along with retired former Paris St-Germain striker Pauleta on 47.
""It was not a priority for me to break Pauleta's record,"" the 28-year-old said. ""I knew Portugal needed me and I stuck to the task at hand. Now we have some time to rest and to do our best for our clubs before starting to think about the World Cup finals.""",reconstructable,Sweden captain Zlatan Ibrahimovic says the World Cup is not worth watching without him after their play-off loss.,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,-0.5384597778320312,0.22583632171154022
